                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7907,                 2.3181,                 2.9004,                 0.5881,                0.18588,                0.19931,                0.09004,                 1.9633,                  1.686,                 2.7543,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5406,                 1.3466,                  2.328,                0.28664,                0.34628,                0.25784,                0.15467,                 1.3907,                   1.41,                  2.328,               0.040073,              0.0066219,              0.0066219
                      3,                  1.267,                 1.1013,                 2.0589,                 0.3258,                0.47056,                0.32873,                0.20449,                 1.2579,                 1.0624,                 2.1956,               0.010007,              0.0098893,              0.0098893
                      4,                 1.1099,                0.93574,                 1.8813,                 0.5173,                0.55431,                0.51348,                0.35404,                0.96582,                0.80177,                 1.8635,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.019,                0.83297,                  1.773,                0.47639,                 0.5616,                0.51807,                0.36574,                0.90267,                 0.7537,                 1.8255,               0.009802,               0.009802,               0.009802
                      6,                0.97567,                0.77269,                 1.7068,                0.52726,                0.57153,                0.53875,                0.37805,                0.92551,                0.75469,                 1.7969,              0.0097525,              0.0097525,              0.0097525
                      7,                0.95015,                0.74625,                 1.6927,                0.58485,                0.62024,                0.60801,                0.44311,                0.86933,                0.66663,                 1.7396,               0.009703,               0.009703,               0.009703
                      8,                0.92453,                0.71174,                 1.6775,                0.63071,                0.62622,                0.62722,                0.44898,                  0.844,                0.65285,                 1.7398,              0.0096535,              0.0096535,              0.0096535
                      9,                0.90634,                0.68865,                 1.6635,                0.59923,                0.63924,                0.62067,                0.45687,                0.82441,                 0.6303,                 1.7348,               0.009604,               0.009604,               0.009604
                     10,                0.89496,                0.67455,                   1.65,                0.65033,                 0.6769,                0.67852,                0.50593,                0.79093,                  0.577,                 1.7401,              0.0095545,              0.0095545,              0.0095545
                     11,                 0.8844,                0.66134,                 1.6421,                0.63446,                0.70235,                0.68366,                0.50903,                0.80411,                0.58089,                 1.6948,               0.009505,               0.009505,               0.009505
                     12,                0.87591,                0.64769,                 1.6406,                0.68558,                0.68255,                0.70205,                0.53378,                 0.7857,                0.56012,                  1.685,              0.0094555,              0.0094555,              0.0094555
                     13,                0.86746,                0.64285,                  1.634,                0.67916,                0.71867,                0.71306,                0.53704,                 0.7764,                0.55468,                   1.71,               0.009406,               0.009406,               0.009406
                     14,                0.87084,                0.64179,                 1.6243,                0.69241,                0.70232,                0.72283,                 0.5515,                0.76578,                0.54432,                  1.675,              0.0093565,              0.0093565,              0.0093565
                     15,                0.85818,                0.62329,                 1.6213,                0.69441,                0.70689,                0.72332,                0.55109,                0.76906,                0.55536,                 1.6871,               0.009307,               0.009307,               0.009307
